Year,District,Area(ha),Rainfall(mm),Temp(C),Humidity(%),SoilType,pH,N(kg/ha),P(kg/ha),K(kg/ha),FertilizerUsed(kg/ha),IrrigationCount,Yield(tons/ha)
2023,Patna,48,761,30.9,62.6,Clay,6.3,114,48,36,174,1,18.59
2024,Muzaffarpur,56,893,27.3,65.7,Clay,5.8,105,43,33,152,3,18.07
2022,Patna,57,1034,28.4,60.4,Loamy,6.0,84,53,48,166,3,17.51
2024,Bhojpur,27,902,26.0,68.6,Loamy,6.1,108,49,30,161,4,17.88
2024,Gaya,84,1091,25.6,76.8,Sandy,7.1,116,54,32,203,3,20.7
2021,Gaya,36,725,28.0,67.8,Sandy,6.6,99,48,42,173,4,17.32
2022,Gaya,90,872,28.8,63.6,Loamy,7.1,100,40,44,178,2,18.37
2022,Muzaffarpur,64,999,26.7,75.1,Sandy,6.6,89,38,31,192,2,16.56
2022,Bhojpur,23,832,28.6,75.8,Loamy,6.5,84,42,40,174,1,15.2
2024,Patna,55,1025,31.1,63.5,Clay,6.2,115,51,33,209,2,19.94
2023,Samastipur,89,817,28.5,75.4,Clay,6.6,85,43,48,214,2,17.0
2022,Patna,50,1023,29.8,78.9,Sandy,6.0,105,35,46,177,1,18.42
2025,Samastipur,38,974,30.4,63.3,Loamy,7.1,83,54,32,165,3,16.09
2024,Patna,80,911,31.9,75.4,Loamy,7.0,118,48,47,196,4,20.91
2021,Bhojpur,73,924,28.8,74.2,Sandy,6.2,118,45,37,207,4,19.91
2023,Samastipur,58,719,30.5,69.5,Loamy,7.1,114,37,48,176,3,18.87
2025,Muzaffarpur,93,812,31.7,61.2,Clay,7.0,80,43,34,202,1,16.02
2025,Patna,38,839,31.6,61.5,Sandy,6.7,103,48,36,191,3,17.52
2021,Patna,58,746,25.1,77.0,Sandy,6.0,115,43,37,208,2,18.93
2023,Samastipur,86,700,27.3,79.8,Loamy,6.5,85,38,34,196,1,15.75
2024,Muzaffarpur,64,789,26.6,73.5,Sandy,6.5,110,38,46,183,1,18.82
2020,Muzaffarpur,32,841,24.7,68.9,Loamy,6.1,99,42,34,186,1,16.98
2023,Bhojpur,77,1019,29.1,73.0,Loamy,5.9,103,36,33,155,4,18.45
2021,Muzaffarpur,39,737,29.9,71.9,Loamy,6.9,104,43,48,156,3,17.48
2025,Muzaffarpur,91,992,30.8,67.7,Loamy,6.0,115,48,31,174,1,20.33
2024,Muzaffarpur,80,1081,25.0,61.3,Loamy,6.6,100,43,40,182,1,18.8
2023,Gaya,58,838,31.0,76.4,Sandy,7.1,109,50,42,204,1,19.19
2020,Bhojpur,20,1055,29.1,67.4,Clay,7.0,103,51,44,207,3,18.49
2020,Patna,22,1032,29.6,76.4,Clay,6.2,109,50,41,156,4,18.99
2022,Samastipur,96,958,31.3,65.1,Sandy,7.0,101,46,40,206,2,19.04
2022,Patna,81,860,29.0,60.0,Sandy,5.8,107,37,36,161,4,18.46
2021,Bhojpur,82,1089,26.7,63.2,Clay,5.8,86,45,34,165,1,17.19
2023,Samastipur,44,877,30.6,69.4,Clay,6.6,114,48,46,192,4,19.54
2023,Bhojpur,75,709,26.9,78.9,Clay,6.3,107,52,49,156,4,19.1
2025,Muzaffarpur,52,960,24.3,62.0,Clay,6.3,93,39,38,200,2,16.94
2025,Samastipur,57,837,30.6,77.1,Clay,6.6,89,50,43,181,3,17.16
2025,Muzaffarpur,25,871,26.8,70.5,Loamy,6.1,95,54,41,157,3,17.25
2022,Patna,77,1085,30.2,76.5,Sandy,6.1,95,39,35,194,4,17.75
2023,Patna,63,712,26.9,66.0,Loamy,6.5,110,37,46,208,4,18.38
2023,Samastipur,64,867,30.9,76.8,Clay,6.9,104,46,48,153,3,18.7
2020,Samastipur,51,829,25.8,75.5,Clay,6.7,92,35,48,216,3,16.61
2022,Bhojpur,64,783,31.8,64.6,Clay,6.2,85,43,45,178,2,16.09
2024,Bhojpur,80,1020,30.2,62.6,Loamy,6.4,88,43,41,178,1,17.36
2022,Muzaffarpur,66,1018,24.9,77.4,Loamy,6.0,115,38,41,177,4,19.55
2024,Samastipur,40,800,28.5,79.3,Clay,5.9,99,37,49,193,3,17.27
2020,Patna,99,1028,31.9,60.6,Loamy,6.9,97,51,35,153,4,18.72
2021,Bhojpur,94,972,27.8,74.6,Loamy,6.2,100,36,33,158,4,18.12
2023,Bhojpur,55,964,25.5,78.2,Clay,6.0,83,35,35,154,3,15.9
2020,Patna,38,1098,27.9,77.1,Loamy,6.8,112,42,40,205,2,19.01
2023,Bhojpur,39,737,28.1,79.3,Sandy,6.7,106,47,30,199,4,17.4
2025,Muzaffarpur,76,793,29.9,75.2,Sandy,6.7,86,49,44,164,2,17.1
2021,Samastipur,37,794,29.6,68.8,Sandy,6.1,85,42,40,181,3,15.79
2021,Patna,66,1004,27.2,66.2,Sandy,6.1,94,46,48,177,1,18.33
2020,Samastipur,68,768,25.7,66.4,Clay,6.1,97,46,47,171,1,17.9
2021,Bhojpur,33,1017,29.2,74.5,Clay,6.0,111,48,46,166,4,19.46
2024,Bhojpur,34,935,27.4,74.9,Clay,6.7,90,49,48,208,3,17.08
2021,Patna,50,1033,25.1,64.0,Sandy,7.0,99,49,43,206,2,18.57
2023,Muzaffarpur,20,1072,31.2,77.4,Sandy,6.8,103,43,47,175,4,17.95
2023,Gaya,73,1075,29.5,74.3,Loamy,6.9,94,53,48,174,3,19.12
2023,Patna,22,836,29.5,71.3,Loamy,6.4,86,54,44,159,3,16.23
2023,Gaya,35,775,30.6,69.4,Sandy,6.7,100,42,44,194,2,17.16
2024,Gaya,76,734,28.2,70.9,Sandy,6.3,105,53,33,160,4,18.32
2022,Muzaffarpur,94,700,30.5,63.2,Sandy,6.5,93,40,36,202,3,17.09
2025,Gaya,31,995,28.0,64.1,Sandy,6.5,116,54,42,217,3,19.62
2020,Gaya,93,1019,24.5,61.8,Loamy,6.0,100,53,32,177,3,19.28
2023,Muzaffarpur,35,759,27.2,63.1,Sandy,6.3,97,38,45,214,2,16.79
2021,Gaya,91,1019,28.0,69.1,Loamy,7.1,84,41,38,198,4,16.96
2023,Gaya,95,1048,29.8,70.6,Sandy,6.1,82,38,37,196,4,17.03
2021,Gaya,43,1027,24.9,60.4,Sandy,6.0,102,46,49,201,4,18.79
2025,Patna,47,966,25.1,75.9,Sandy,6.4,105,47,42,203,4,18.68
2025,Patna,27,1060,26.1,65.9,Loamy,6.9,116,37,46,209,1,19.2
2025,Patna,55,928,26.1,78.2,Loamy,6.6,103,46,46,206,1,18.46
2021,Muzaffarpur,27,969,29.9,79.4,Clay,6.8,98,36,46,196,4,17.0
2023,Bhojpur,77,1015,26.0,63.7,Sandy,6.1,104,36,30,180,2,18.14
2025,Gaya,79,985,29.1,69.2,Clay,6.7,100,43,37,195,1,18.62
2024,Gaya,69,990,28.0,60.0,Clay,6.3,91,35,48,175,3,17.16
2021,Muzaffarpur,47,912,28.6,72.0,Loamy,7.0,112,42,35,154,1,18.79
2021,Gaya,60,864,30.7,72.1,Loamy,6.7,83,40,32,201,3,15.55
2023,Patna,83,704,27.2,65.0,Clay,6.1,86,40,34,203,4,15.99
2021,Bhojpur,46,1038,30.2,71.2,Sandy,5.9,101,52,42,182,1,18.81
2021,Samastipur,82,1078,27.4,64.5,Loamy,5.9,112,51,44,199,2,20.83
2025,Gaya,36,777,26.8,63.2,Sandy,6.3,96,46,43,187,1,16.84
2023,Patna,92,761,31.7,73.0,Sandy,6.2,103,40,45,176,1,18.45
2025,Samastipur,52,831,25.5,66.5,Clay,6.7,113,42,47,164,1,19.02
2025,Bhojpur,96,788,24.7,71.8,Clay,6.5,107,53,40,210,4,19.24
2023,Samastipur,48,936,30.2,68.7,Clay,6.2,118,44,32,170,2,19.2
2020,Patna,32,741,24.5,79.7,Clay,6.0,101,35,39,195,1,16.5
2025,Samastipur,65,788,30.7,63.0,Loamy,6.0,96,47,39,218,2,17.38
2024,Muzaffarpur,54,995,27.5,69.3,Loamy,7.0,113,51,45,155,4,20.08
2024,Samastipur,25,1027,31.3,73.6,Clay,6.1,85,37,41,187,3,15.76
2021,Gaya,88,994,29.8,67.9,Loamy,6.7,85,42,31,211,1,16.83
2024,Gaya,66,803,28.9,79.5,Clay,6.9,113,48,38,211,2,19.16
2021,Muzaffarpur,44,713,31.6,74.4,Sandy,6.7,80,37,32,195,2,14.52
2020,Patna,85,987,27.2,73.1,Sandy,7.0,89,50,44,162,4,18.25
2023,Gaya,29,878,31.6,75.1,Sandy,6.3,100,47,32,152,1,17.11
2023,Bhojpur,75,824,25.1,79.1,Clay,7.1,84,54,48,155,3,17.39
2023,Gaya,49,1052,27.9,78.2,Sandy,6.0,81,51,47,157,2,16.81
2024,Gaya,24,722,26.2,74.5,Loamy,5.9,101,47,37,193,1,16.85
2020,Patna,52,762,28.3,75.0,Sandy,6.7,81,40,46,182,3,15.44
2024,Samastipur,84,842,25.3,62.9,Sandy,7.1,89,51,37,199,2,17.34
2024,Gaya,37,852,30.7,62.1,Sandy,6.9,113,48,36,160,2,18.8
2020,Muzaffarpur,68,844,30.8,71.4,Loamy,5.9,95,51,36,177,3,17.82
2020,Samastipur,30,924,31.6,60.4,Clay,6.2,118,42,32,219,3,18.61
2020,Bhojpur,45,1008,25.2,69.6,Loamy,7.1,101,45,30,190,4,17.79
2020,Patna,82,803,29.0,64.2,Clay,6.2,91,54,33,165,1,17.46
2023,Bhojpur,78,803,27.8,66.9,Clay,6.9,103,35,34,217,1,17.44
2022,Samastipur,46,738,26.8,75.5,Sandy,7.0,119,41,30,197,4,18.39
2022,Samastipur,68,897,26.8,78.8,Clay,6.5,117,51,44,205,2,20.22
2020,Samastipur,96,833,27.3,61.4,Loamy,6.3,89,44,34,213,3,16.96
2022,Bhojpur,52,766,29.6,70.7,Loamy,6.4,114,45,42,208,3,18.79
2022,Samastipur,20,1090,28.8,77.7,Clay,6.1,111,43,37,211,3,18.53
2020,Bhojpur,40,878,27.7,61.7,Sandy,7.0,86,43,37,160,2,15.83
2022,Samastipur,74,741,24.6,76.5,Sandy,6.4,100,39,34,167,3,17.39
2024,Muzaffarpur,25,714,24.6,67.2,Loamy,7.0,99,51,38,168,3,16.9
2021,Samastipur,88,810,24.0,66.4,Sandy,5.9,105,43,30,204,4,18.53
2021,Bhojpur,24,856,31.7,79.5,Clay,7.2,83,51,33,175,2,15.43
2020,Gaya,22,988,24.0,64.0,Clay,6.4,101,53,32,155,1,17.81
2023,Samastipur,72,930,24.8,73.9,Loamy,5.9,94,41,31,153,4,17.36
2020,Gaya,42,856,26.5,76.4,Clay,5.9,119,43,37,178,4,19.28
2023,Muzaffarpur,72,737,30.5,60.8,Loamy,6.8,100,41,38,208,1,17.43
2021,Patna,56,796,31.7,73.4,Clay,6.7,94,47,31,166,4,16.87
2020,Muzaffarpur,93,988,30.3,79.0,Loamy,6.9,101,45,43,192,2,19.0
2025,Samastipur,93,953,29.5,62.5,Sandy,5.9,107,48,43,215,3,19.7
2024,Gaya,36,895,28.2,77.9,Clay,5.8,93,53,33,183,2,16.95
2022,Gaya,97,785,24.7,71.9,Clay,6.5,106,45,35,157,1,18.83
2023,Bhojpur,92,1021,31.7,72.3,Loamy,6.3,119,47,40,162,1,20.76
2025,Gaya,20,709,30.1,72.3,Loamy,6.4,107,48,32,157,4,17.38
2022,Bhojpur,70,704,29.1,66.0,Clay,7.2,105,47,37,214,2,18.19
2022,Patna,64,822,30.1,78.7,Loamy,7.2,81,35,32,192,2,15.12
2020,Samastipur,96,1029,29.8,78.9,Clay,7.1,104,42,43,188,1,19.69
2022,Bhojpur,23,1052,29.1,72.5,Sandy,6.9,82,46,42,208,2,16.02
2024,Patna,81,817,31.8,75.7,Loamy,6.3,87,53,42,193,1,17.59
2025,Gaya,84,993,31.2,72.2,Clay,6.4,112,46,31,158,2,19.66
2022,Gaya,51,1096,29.2,69.7,Sandy,6.6,114,42,42,186,2,19.55
2020,Patna,53,858,29.5,73.2,Sandy,7.0,85,42,48,185,2,16.54
2024,Gaya,91,1002,24.4,71.1,Clay,5.9,118,47,35,177,1,20.72
2021,Patna,58,927,29.4,71.9,Loamy,6.4,102,46,45,191,4,18.63
