District,Year,Soil_pH,Organic_Carbon(%),Nitrogen(kg/ha),Phosphorus(kg/ha),Potassium(kg/ha),Yield_t_per_ha,crop,avg_temp,avg_humidity,total_rainfall,Rice_Variety,Humidity(%),Irrigation_Type,Fertilizer_Use(kg/ha),Pesticide_Use(kg/ha),Sowing_Date,Harvest_Date,Yield(kg/ha)
Araria,2000,6.36,0.648,397.7,23.26,156.8,5.227,rice,26.75,81.51,1849.8,Sona Masuri,64.4,Borewell,198,2.3,27-06-2000,15-10-2000,3943
Araria,2001,6.35,0.635,378.2,22.62,156.8,5.107,rice,26.78,82.84,1681.9,Swarna,64.5,Borewell,183,4.65,23-06-2001,31-10-2001,3843
Araria,2002,6.36,0.634,365.2,21.12,155.1,5.19,rice,26.42,83.1,1804.6,MTU-1010,81.6,Rainfed,241,1.66,29-06-2002,04-11-2002,4037
Araria,2003,6.4,0.616,388.9,20.41,152.9,5.547,rice,26.32,84.81,2160.1,Swarna Sub1,71,Borewell,136,4.21,27-06-2003,15-10-2003,3928
Araria,2004,6.57,0.614,367,21.6,169.1,5.071,rice,26.24,82.17,1640.4,Swarna,70.2,Canal,207,1.14,24-06-2004,27-10-2004,3859
Araria,2005,6.5,0.629,371.6,20.92,157.1,5.008,rice,26.73,82.12,1955.8,Swarna Sub1,73,Canal,163,3.77,26-06-2005,02-11-2005,3891
Araria,2006,6.52,0.613,368.1,20.67,159.9,5.412,rice,26.95,81.7,1571,Sona Masuri,82.3,Borewell,132,2.19,28-06-2006,27-10-2006,3543
Araria,2007,6.55,0.615,364.7,21,152,5.292,rice,26.75,83.14,2125.9,Swarna,65.2,Canal,208,4.92,30-06-2007,24-10-2007,4026
Araria,2008,6.57,0.627,375,21.2,150.9,5.073,rice,26.59,83.01,1830.4,IR64,60,Borewell,158,2.88,27-06-2008,27-10-2008,3668
Araria,2009,6.62,0.604,364.4,19.39,160.2,5.308,rice,26.99,82.16,1828.2,Sona Masuri,86.1,Canal,191,1.41,28-06-2009,28-10-2009,3765
Araria,2010,6.57,0.591,360.8,20.72,152.1,5.173,rice,27.01,83.1,1826.3,Sona Masuri,72.2,Rainfed,204,4.49,25-06-2010,14-10-2010,3760
Araria,2011,6.61,0.605,373.3,18.79,153.7,5.274,rice,26.58,83.14,2117.8,Swarna Sub1,81.4,Canal,188,1.54,23-06-2011,20-10-2011,4119
Araria,2012,6.64,0.606,350.3,21.27,166.7,4.97,rice,26.66,80.71,1573.5,IR64,78.3,Rainfed,168,1.12,30-06-2012,07-11-2012,3712
Araria,2013,6.67,0.614,366.8,20.33,155.5,5.521,rice,26.48,83.38,1646.8,Swarna,72.5,Rainfed,210,3.67,30-06-2013,24-10-2013,3825
Araria,2014,6.67,0.641,379.5,21.69,169.2,5.45,rice,26.74,82.55,1731.1,MTU-1010,66.5,Canal,141,4.42,20-06-2014,22-10-2014,3566
Araria,2015,6.69,0.628,373.5,20.94,166,5.137,rice,26.96,82.13,1484.2,Sharbati,61.6,Canal,176,2.56,21-06-2015,17-10-2015,3520
Araria,2016,6.7,0.636,385.2,22.27,172.2,5.526,rice,26.93,83.01,1908.9,Sharbati,88.7,Borewell,165,4.99,16-06-2016,06-10-2016,3787
Araria,2017,6.64,0.644,369.4,21.42,171.5,5.504,rice,26.96,83.34,1556.7,Swarna,64.9,Rainfed,236,3.74,21-06-2017,23-10-2017,3566
Araria,2018,6.68,0.642,381.9,21.02,159.7,5.466,rice,27.13,80.21,1095.6,Swarna,66.7,Canal,136,2.74,21-06-2018,12-10-2018,3427
Araria,2019,6.74,0.665,366.1,22.41,165.4,5.529,rice,27.18,82.33,1973.8,Swarna Sub1,74.2,Borewell,136,2.08,21-06-2019,16-10-2019,3705
Araria,2020,6.76,0.645,382.6,22.8,156.7,5.714,rice,27.06,82.09,2127.5,Sharbati,86.1,Canal,202,1.93,15-06-2020,09-10-2020,4106
Arwal,2000,6.44,0.448,217.7,7.84,206,4.176,rice,27.23,76.73,890.8,IR64,79.8,Canal,181,2.46,24-06-2000,24-10-2000,2974
Arwal,2001,6.46,0.433,205.4,8.39,185.8,4.076,rice,27.12,80.25,1012.1,IR64,72.6,Borewell,143,3.2,19-06-2001,27-10-2001,3096
Arwal,2002,6.49,0.42,219.3,8.22,180.6,4.232,rice,27.33,77.55,990.8,IR64,79.1,Borewell,132,1.81,26-06-2002,26-10-2002,2871
Arwal,2003,6.49,0.414,221.7,9.41,198,4.266,rice,27.22,78.56,1357.3,MTU-1010,69.4,Canal,175,3.97,22-06-2003,27-10-2003,3229
Arwal,2004,6.54,0.398,213.5,9.41,197.4,4.129,rice,27.12,76.28,961.6,Sona Masuri,72,Canal,200,3.95,15-06-2004,22-10-2004,2964
Arwal,2005,6.56,0.397,212.9,9.87,179.5,3.967,rice,27.83,73.08,814.6,Swarna,63.1,Borewell,145,1.92,18-06-2005,15-10-2005,2968
Arwal,2006,6.52,0.371,207.3,9.76,188.8,4.174,rice,27.57,77.3,1197.3,IR64,74.8,Borewell,195,3.31,17-06-2006,09-10-2006,3111
Arwal,2007,6.62,0.403,211.1,10.19,190.1,4.074,rice,27.59,78.25,1265.3,Sona Masuri,89.8,Borewell,131,3.55,22-06-2007,12-10-2007,3149
Arwal,2008,6.58,0.37,203.4,8.78,193.3,4.453,rice,27.34,78.69,1358.7,IR64,87.5,Rainfed,177,2.22,26-06-2008,31-10-2008,3321
Arwal,2009,6.58,0.384,201.1,9.4,186.8,3.835,rice,28.19,72.26,932.6,Sharbati,64.4,Canal,124,3.3,23-06-2009,23-10-2009,2772
Arwal,2010,6.66,0.369,204.1,8.11,182.6,4.225,rice,28.66,75.3,851.7,IR64,88.1,Canal,202,1.59,18-06-2010,25-10-2010,2920
Arwal,2011,6.64,0.385,212.9,10.1,186,3.94,rice,27.53,77.55,1161.3,Swarna Sub1,68,Borewell,169,2.58,18-06-2011,07-10-2011,2991
Arwal,2012,6.69,0.385,220.6,9.42,188.8,4.293,rice,27.81,73.17,1039.4,Swarna,89.6,Canal,130,3.21,27-06-2012,04-11-2012,2960
Arwal,2013,6.73,0.416,213.9,9.31,197.5,4.141,rice,27.05,79.62,1048.1,IR64,88.2,Rainfed,176,1.23,25-06-2013,24-10-2013,3015
Arwal,2014,6.69,0.402,217.5,8.59,183,3.898,rice,27.52,76.95,779.9,IR64,68.4,Borewell,181,1.52,16-06-2014,11-10-2014,2786
Arwal,2015,6.65,0.405,214.4,10.88,200.7,4.121,rice,28.26,73.62,789.6,Sharbati,81.6,Rainfed,159,4.13,24-06-2015,31-10-2015,2892
Arwal,2016,6.71,0.413,216.1,9.55,199.2,4.258,rice,27.86,77.5,1147.6,MTU-1010,69.4,Borewell,149,3.41,19-06-2016,26-10-2016,3096
Arwal,2017,6.74,0.412,220.1,11.55,198.3,4.603,rice,27.94,78.83,1135,IR64,87.9,Rainfed,208,2.1,26-06-2017,21-10-2017,3010
Arwal,2018,6.71,0.437,221.2,9.41,193.8,4.464,rice,28.34,73.66,1203.5,Sharbati,81.4,Canal,196,4.7,21-06-2018,20-10-2018,2851
Arwal,2019,6.69,0.444,232,9.91,198.3,4.507,rice,28.5,76.98,1299.3,IR64,83.2,Borewell,134,4.4,28-06-2019,16-10-2019,2852
Arwal,2020,6.72,0.454,210.4,9.42,189.5,4.155,rice,27.66,81.04,1299.8,Sona Masuri,72.6,Borewell,185,4.24,19-06-2020,20-10-2020,3016
Aurangabad,2000,6.46,0.536,250.3,9.53,182.6,4.226,rice,27.12,75.59,791.1,Swarna Sub1,83.6,Borewell,193,2.59,24-06-2000,29-10-2000,2979
Aurangabad,2001,6.43,0.526,233.9,9.74,170.8,4.011,rice,26.99,80.1,921.7,IR64,71.6,Borewell,205,2.58,18-06-2001,24-10-2001,3051
Aurangabad,2002,6.45,0.542,217.2,8.7,169.1,3.758,rice,27.25,76.25,905.2,IR64,74.1,Borewell,117,1.31,30-06-2002,27-10-2002,3037
Aurangabad,2003,6.5,0.523,233.1,9.15,179.6,3.732,rice,27.09,78.18,1490.3,Sona Masuri,76,Canal,183,2.13,26-06-2003,15-10-2003,3231
Aurangabad,2004,6.54,0.527,237,9.68,179.2,4.304,rice,26.95,75.77,845.6,Sharbati,78.2,Rainfed,171,2.2,30-06-2004,07-11-2004,2963
Aurangabad,2005,6.54,0.512,226.7,8.36,169.1,3.729,rice,27.75,71.4,742.4,Sharbati,63.5,Borewell,122,2.24,18-06-2005,15-10-2005,2847
Aurangabad,2006,6.56,0.514,231.9,8.53,181,4.04,rice,27.32,77.03,1343.5,MTU-1010,84.9,Borewell,213,1.34,16-06-2006,05-10-2006,3181
Aurangabad,2007,6.57,0.499,234.7,9.24,166,3.874,rice,27.38,77.5,1062.9,IR64,85.7,Canal,127,2.6,22-06-2007,15-10-2007,3099
Aurangabad,2008,6.6,0.491,230.7,7.88,181.8,4.097,rice,27.25,76.8,1194,Swarna Sub1,68.8,Rainfed,127,1.4,28-06-2008,29-10-2008,2979
Aurangabad,2009,6.6,0.499,208.7,8.07,171.2,3.664,rice,28.08,71.42,967,MTU-1010,75.7,Rainfed,165,1.62,21-06-2009,16-10-2009,2978
Aurangabad,2010,6.65,0.51,217.4,8.28,173.4,4.187,rice,28.66,73.44,711.6,MTU-1010,89.4,Borewell,214,1.96,23-06-2010,31-10-2010,2984
Aurangabad,2011,6.6,0.5,243.1,7.7,165.7,3.83,rice,27.36,76.6,1238.6,MTU-1010,82.8,Borewell,217,4.08,24-06-2011,26-10-2011,3237
Aurangabad,2012,6.64,0.512,232.3,7.67,177.9,3.832,rice,27.52,73.52,1046.1,Swarna,83.8,Borewell,157,1.97,19-06-2012,25-10-2012,2906
Aurangabad,2013,6.7,0.505,227.1,9.6,180.7,4.026,rice,26.93,78.67,902.3,Sharbati,70.3,Borewell,165,1.87,24-06-2013,16-10-2013,2895
Aurangabad,2014,6.62,0.524,225.7,9.43,169,4.052,rice,27.64,74.28,757.9,Sharbati,76,Canal,200,3.95,26-06-2014,30-10-2014,3060
Aurangabad,2015,6.66,0.512,241.5,9.5,175.2,4.25,rice,28.16,72.97,746.1,MTU-1010,71.1,Rainfed,197,4.93,30-06-2015,19-10-2015,2951
Aurangabad,2016,6.68,0.533,239.8,8.88,183.1,3.939,rice,27.68,76.47,1256.7,Swarna Sub1,69.5,Borewell,146,2.06,30-06-2016,26-10-2016,3170
Aurangabad,2017,6.69,0.553,231.1,7.52,191.3,4.526,rice,27.86,76.81,1056.6,Swarna Sub1,84.6,Borewell,124,2.37,23-06-2017,27-10-2017,2910
Aurangabad,2018,6.7,0.527,238.8,9.29,181.9,3.847,rice,28.02,72.88,1421,Sharbati,61.3,Canal,109,2.67,16-06-2018,16-10-2018,3144
